TEAM STATISTICS,TSU,OPP
SCORING,381,253
Points Per Game,27.2,18.1
FIRST DOWNS,253,233
Rushing,114,99
Passing,116,101
Penalty,23,33
RUSHING YARDAGE,2293,1693
Yards gained rushing,2715,2156
Yards lost rushing,422,463
Rushing Attempts,571,501
Average Per Rush,4.0,3.4
Average Per Game,76.6,53.7
TDs Rushing,14,13
PASSING YARDAGE,2579,2451
Comp-Att-Int,220-372-4,217-428-21
Average Per Pass,6.9,5.7
Average Per Catch,11.7,11.3
TDs Passing,26,15
TOTAL OFFENSE,4872,4144
Total Plays,943,929
Average Per Play,5.2,4.5
KICK RETURNS: #-Yards,45-715,56-1044
PUNT RETURNS: #-Yards,42-316,18-166
INT RETURNS: #-Yards,21-389,4-103
KICK RETURN AVERAGE,15.9,18.6
PUNT RETURN AVERAGE,7.5,9.2
INT RETURN AVERAGE,18.5,25.8
FUMBLES-LOST,40-20,24-11
PENALTIES-Yards,123-1072,99-752
PUNTS-Yards,75-2813,77-2941
Average Per Punt,37.5,38.2
Net punt average,34.5,33.8
KICKOFFS-Yards,77-4317,55-2852
Average Per Kick,56.1,51.9
Net kick average,38.3,37.0
TIME OF POSSESSION/Game,31:58,28:02
3RD-DOWN Conversions,83/207,52/190
3rd-Down Pct,40%,27%
4TH-DOWN Conversions,6/12,15/37
4th-Down Pct,50%,41%
SACKS BY-Yards,37-237,30-206
MISC YARDS,85,-15
TOUCHDOWNS SCORED,46,32
FIELD GOALS-ATTEMPTS,18-29,11-18
ON-SIDE KICKS,2-2,1-4
RED-ZONE SCORES,(37-51) 73%,(29-36) 81%
RED-ZONE TOUCHDOWNS,(26-51) 51%,(20-36) 56%
PAT-ATTEMPTS,(43-45) 96%,(24-29) 83%
ATTENDANCE,57309,59992
Games/Avg Per Game,5/11462,7/8570
Neutral Site Games,,2/32200
