TEAM STATISTICS,WIU,OPP
SCORING,154,304
Points Per Game,14.0,27.6
FIRST DOWNS,175,203
Rushing,73,91
Passing,87,91
Penalty,15,21
RUSHING YARDAGE,1071,1880
Yards gained rushing,1444,2170
Yards lost rushing,373,290
Rushing Attempts,370,445
Average Per Rush,2.9,4.2
Average Per Game,63.5,61.5
TDs Rushing,9,17
PASSING YARDAGE,1908,2066
Comp-Att-Int,163-306-15,159-290-5
Average Per Pass,6.2,7.1
Average Per Catch,11.7,13.0
TDs Passing,9,14
TOTAL OFFENSE,2979,3946
Total Plays,676,735
Average Per Play,4.4,5.4
KICK RETURNS: #-Yards,60-1180,31-711
PUNT RETURNS: #-Yards,21-236,24-144
INT RETURNS: #-Yards,5-65,15-280
KICK RETURN AVERAGE,19.7,22.9
PUNT RETURN AVERAGE,11.2,6.0
INT RETURN AVERAGE,13.0,18.7
FUMBLES-LOST,17-13,13-11
PENALTIES-Yards,80-698,75-677
PUNTS-Yards,65-2447,53-1914
Average Per Punt,37.6,36.1
Net punt average,34.8,30.5
TIME OF POSSESSION/Game,29:30,30:29
3RD-DOWN Conversions,39/137,61/161
3rd-Down Pct,28%,38%
4TH-DOWN Conversions,5/19,2/7
4th-Down Pct,26%,29%
SACKS BY-Yards,21-154,46-300
MISC YARDS,0,0
TOUCHDOWNS SCORED,21,34
FIELD GOALS-ATTEMPTS,2-8,22-28
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,12-21 57%,34-43 79%
RED-ZONE TOUCHDOWNS,11-21 52%,22-43 51%
PAT-ATTEMPTS,20-20 100%,32-34 94%
ATTENDANCE,48262,70517
Games/Avg Per Game,5/9652,6/11753
Neutral Site Games,,0/0
