TEAM STATISTICS,EIU,OPP
SCORING,197,322
Points Per Game,17.9,29.3
FIRST DOWNS,186,228
Rushing,64,125
Passing,108,93
Penalty,14,10
RUSHING YARDAGE,962,2340
Yards gained rushing,1457,2607
Yards lost rushing,495,267
Rushing Attempts,350,472
Average Per Rush,2.7,5.0
Average Per Game,37.5,50.1
TDs Rushing,6,33
PASSING YARDAGE,2279,1895
Comp-Att-Int,193-340-18,204-317-5
Average Per Pass,6.7,6.0
Average Per Catch,11.8,9.3
TDs Passing,18,5
TOTAL OFFENSE,3241,4235
Total Plays,690,789
Average Per Play,4.7,5.4
KICK RETURNS: #-Yards,47-1037,37-675
PUNT RETURNS: #-Yards,12-82,19-182
INT RETURNS: #-Yards,5-116,18-239
KICK RETURN AVERAGE,22.1,18.2
PUNT RETURN AVERAGE,6.8,9.6
INT RETURN AVERAGE,23.2,13.3
FUMBLES-LOST,31-15,29-17
PENALTIES-Yards,49-413,69-551
PUNTS-Yards,57-2360,46-1775
Average Per Punt,41.4,38.6
Net punt average,35.1,34.6
TIME OF POSSESSION/Game,28:04,33:17
3RD-DOWN Conversions,41/138,69/157
3rd-Down Pct,30%,44%
4TH-DOWN Conversions,7/21,13/20
4th-Down Pct,33%,65%
SACKS BY-Yards,12-83,36-237
MISC YARDS,0,0
TOUCHDOWNS SCORED,25,41
FIELD GOALS-ATTEMPTS,8-12,11-18
ON-SIDE KICKS,1-1,1-1
RED-ZONE SCORES,(20-28) 71%,(40-54) 74%
RED-ZONE TOUCHDOWNS,(14-28) 50%,(32-54) 59%
PAT-ATTEMPTS,(21-22) 95%,(41-41) 100%
ATTENDANCE,28343,111058
Games/Avg Per Game,5/5669,6/18510
Neutral Site Games,,0/0
