TEAM STATISTICS,USD,OPP
SCORING,187,346
Points Per Game,17.0,31.5
FIRST DOWNS,164,235
Rushing,72,122
Passing,75,97
Penalty,17,16
RUSHING YARDAGE,1320,2153
Yards gained rushing,1635,2384
Yards lost rushing,315,231
Rushing Attempts,348,504
Average Per Rush,3.8,4.3
Average Per Game,65.0,64.1
TDs Rushing,13,25
PASSING YARDAGE,1812,2100
Comp-Att-Int,165-290-9,163-267-6
Average Per Pass,6.2,7.9
Average Per Catch,11.0,12.9
TDs Passing,8,17
TOTAL OFFENSE,3132,4253
Total Plays,638,771
Average Per Play,4.9,5.5
KICK RETURNS: #-Yards,42-722,28-481
PUNT RETURNS: #-Yards,10-118,29-359
INT RETURNS: #-Yards,6-104,9-135
KICK RETURN AVERAGE,17.2,17.2
PUNT RETURN AVERAGE,11.8,12.4
INT RETURN AVERAGE,17.3,15.0
FUMBLES-LOST,12-7,14-5
PENALTIES-Yards,80-715,74-705
PUNTS-Yards,64-2516,51-2128
Average Per Punt,39.3,41.7
Net punt average,33.1,35.5
KICKOFFS-Yards,40-2420,66-3979
Average Per Kick,60.5,60.3
Net kick average,44.0,40.3
TIME OF POSSESSION/Game,27:48,32:12
3RD-DOWN Conversions,46/142,78/158
3rd-Down Pct,32%,49%
4TH-DOWN Conversions,3/13,9/15
4th-Down Pct,23%,60%
SACKS BY-Yards,18-134,22-156
MISC YARDS,-3,-25
TOUCHDOWNS SCORED,23,46
FIELD GOALS-ATTEMPTS,8-14,10-11
ON-SIDE KICKS,0-2,0-0
RED-ZONE SCORES,(19-25) 76%,(40-44) 91%
RED-ZONE TOUCHDOWNS,(14-25) 56%,(33-44) 75%
PAT-ATTEMPTS,(21-21) 100%,(40-44) 91%
ATTENDANCE,35471,93346
Games/Avg Per Game,4/8868,6/15558
Neutral Site Games,,1/9269
