TEAM STATISTICS,JSU,OPP
SCORING,322,357
Points Per Game,29.3,32.5
FIRST DOWNS,244,256
Rushing,113,107
Passing,116,130
Penalty,15,19
RUSHING YARDAGE,2101,2064
Yards gained rushing,2359,2230
Yards lost rushing,258,166
Rushing Attempts,486,432
Average Per Rush,4.3,4.8
Average Per Game,54.0,40.0
TDs Rushing,21,21
PASSING YARDAGE,2445,2756
Comp-Att-Int,171-307-10,221-380-9
Average Per Pass,8.0,7.3
Average Per Catch,14.3,12.5
TDs Passing,20,23
TOTAL OFFENSE,4546,4820
Total Plays,793,812
Average Per Play,5.7,5.9
KICK RETURNS: #-Yards,43-917,42-974
PUNT RETURNS: #-Yards,17-164,16-114
INT RETURNS: #-Yards,9-66,10-251
KICK RETURN AVERAGE,21.3,23.2
PUNT RETURN AVERAGE,9.6,7.1
INT RETURN AVERAGE,7.3,25.1
FUMBLES-LOST,21-9,12-5
PENALTIES-Yards,69-594,54-440
PUNTS-Yards,53-2053,48-1894
Average Per Punt,38.7,39.5
Net punt average,35.8,33.5
KICKOFFS-Yards,61-3662,65-3654
Average Per Kick,60.0,56.2
Net kick average,37.9,37.1
TIME OF POSSESSION/Game,31:38,28:15
3RD-DOWN Conversions,78/164,71/157
3rd-Down Pct,48%,45%
4TH-DOWN Conversions,2/6,8/20
4th-Down Pct,33%,40%
SACKS BY-Yards,15-85,12-96
MISC YARDS,23,33
TOUCHDOWNS SCORED,42,48
FIELD GOALS-ATTEMPTS,10-19,7-15
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(38-51) 75%,(39-51) 76%
RED-ZONE TOUCHDOWNS,(30-51) 59%,(35-51) 69%
PAT-ATTEMPTS,(38-39) 97%,(44-47) 94%
ATTENDANCE,80032,186691
Games/Avg Per Game,5/16006,6/31115
Neutral Site Games,,0/0
