TEAM STATISTICS,SEMO,OPP
SCORING,283,366
Points Per Game,25.7,33.3
FIRST DOWNS,229,246
Rushing,160,110
Passing,51,130
Penalty,18,6
RUSHING YARDAGE,2886,2118
Yards gained rushing,3245,2284
Yards lost rushing,359,166
Rushing Attempts,589,420
Average Per Rush,4.9,5.0
Average Per Game,36.2,49.9
TDs Rushing,23,26
PASSING YARDAGE,1061,2693
Comp-Att-Int,95-169-5,230-354-13
Average Per Pass,6.3,7.6
Average Per Catch,11.2,11.7
TDs Passing,8,21
TOTAL OFFENSE,3947,4811
Total Plays,758,774
Average Per Play,5.2,6.2
KICK RETURNS: #-Yards,48-942,39-910
PUNT RETURNS: #-Yards,7-49,23-365
INT RETURNS: #-Yards,13-325,5-163
KICK RETURN AVERAGE,19.6,23.3
PUNT RETURN AVERAGE,7.0,15.9
INT RETURN AVERAGE,25.0,32.6
FUMBLES-LOST,24-13,22-12
PENALTIES-Yards,48-398,60-549
PUNTS-Yards,46-1923,33-1260
Average Per Punt,41.8,38.2
Net punt average,33.9,36.7
KICKOFFS-Yards,57-3505,69-3992
Average Per Kick,61.5,57.9
Net kick average,38.1,38.0
TIME OF POSSESSION/Game,32:09,27:51
3RD-DOWN Conversions,66/155,81/148
3rd-Down Pct,43%,55%
4TH-DOWN Conversions,8/17,8/13
4th-Down Pct,47%,62%
SACKS BY-Yards,8-58,29-203
MISC YARDS,0,35
TOUCHDOWNS SCORED,34,49
FIELD GOALS-ATTEMPTS,15-22,10-15
ON-SIDE KICKS,0-1,0-1
RED-ZONE SCORES,(36-46) 78%,(38-50) 76%
RED-ZONE TOUCHDOWNS,(25-46) 54%,(31-50) 62%
PAT-ATTEMPTS,(32-34) 94%,(42-45) 93%
ATTENDANCE,27384,53606
Games/Avg Per Game,5/5477,6/8934
Neutral Site Games,,0/0
