TEAM STATISTICS,SIU,OPP
SCORING,397,381
Points Per Game,36.1,34.6
Points Off Turnovers,53,72
FIRST DOWNS,273,243
Rushing,107,120
Passing,143,99
Penalty,23,24
RUSHING YARDAGE,2196,2642
Yards gained rushing,2353,2867
Yards lost rushing,157,225
Rushing Attempts,453,506
Average Per Rush,4.8,5.2
Average Per Game,60.6,51.0
TDs Rushing,20,27
PASSING YARDAGE,3283,2503
Comp-Att-Int,280-427-11,183-323-5
Average Per Pass,7.7,7.7
Average Per Catch,11.7,13.7
TDs Passing,26,18
TOTAL OFFENSE,5479,5145
Total Plays,880,829
Average Per Play,6.2,6.2
KICK RETURNS: #-Yards,34-720,54-1071
PUNT RETURNS: #-Yards,15-128,16-186
INT RETURNS: #-Yards,5-149,11-36
KICK RETURN AVERAGE,21.2,19.8
PUNT RETURN AVERAGE,8.5,11.6
INT RETURN AVERAGE,29.8,3.3
FUMBLES-LOST,20-14,14-9
PENALTIES-Yards,67-667,59-561
PUNTS-Yards,48-1985,56-2199
Average Per Punt,41.4,39.3
Net punt average,35.0,33.4
KICKOFFS-Yards,71-4149,72-4451
Average Per Kick,58.4,61.8
Net kick average,38.4,40.0
TIME OF POSSESSION/Game,28:25,31:35
3RD-DOWN Conversions,78/172,74/177
3rd-Down Pct,45%,42%
4TH-DOWN Conversions,12/19,12/18
4th-Down Pct,63%,67%
SACKS BY-Yards,18-113,12-65
MISC YARDS,8,0
TOUCHDOWNS SCORED,51,49
FIELD GOALS-ATTEMPTS,14-22,14-24
ON-SIDE KICKS,0-3,0-1
RED-ZONE SCORES,(38-47) 81%,(34-48) 71%
RED-ZONE TOUCHDOWNS,(29-47) 62%,(25-48) 52%
PAT-ATTEMPTS,(43-45) 96%,(45-47) 96%
ATTENDANCE,38750,76559
Games/Avg Per Game,5/7750,6/12760
Neutral Site Games,,0/0
