TEAM STATISTICS,MUR,OPP
SCORING,336,409
Points Per Game,30.5,37.2
Points Off Turnovers,81,31
FIRST DOWNS,255,266
Rushing,83,109
Passing,155,142
Penalty,17,15
RUSHING YARDAGE,1307,2174
Yards gained rushing,1645,2469
Yards lost rushing,338,295
Rushing Attempts,363,468
Average Per Rush,3.6,4.6
Average Per Game,58.1,55.4
TDs Rushing,16,23
PASSING YARDAGE,3820,3298
Comp-Att-Int,333-538-8,262-404-8
Average Per Pass,7.1,8.2
Average Per Catch,11.5,12.6
TDs Passing,23,29
TOTAL OFFENSE,5127,5472
Total Plays,901,872
Average Per Play,5.7,6.3
KICK RETURNS: #-Yards,50-1074,49-911
PUNT RETURNS: #-Yards,26-234,9-66
INT RETURNS: #-Yards,8-84,8-98
KICK RETURN AVERAGE,21.5,18.6
PUNT RETURN AVERAGE,9.0,7.3
INT RETURN AVERAGE,10.5,12.2
FUMBLES-LOST,24-12,17-11
PENALTIES-Yards,63-639,67-609
PUNTS-Yards,63-2631,68-2782
Average Per Punt,41.8,40.9
Net punt average,37.5,35.1
KICKOFFS-Yards,62-3650,73-4003
Average Per Kick,58.9,54.8
Net kick average,41.4,36.0
TIME OF POSSESSION/Game,27:50,32:10
3RD-DOWN Conversions,74/193,75/174
3rd-Down Pct,38%,43%
4TH-DOWN Conversions,12/26,8/12
4th-Down Pct,46%,67%
SACKS BY-Yards,19-107,33-200
MISC YARDS,0,0
TOUCHDOWNS SCORED,43,55
FIELD GOALS-ATTEMPTS,13-21,11-11
ON-SIDE KICKS,0-3,0-1
RED-ZONE SCORES,(36-47) 77%,(40-44) 91%
RED-ZONE TOUCHDOWNS,(24-47) 51%,(32-44) 73%
PAT-ATTEMPTS,(37-39) 95%,(44-51) 86%
ATTENDANCE,30241,71294
Games/Avg Per Game,5/6048,6/11882
Neutral Site Games,,0/0
